patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,49.52,46.43
4,0.2,4,51.65,46.99
4,0.2,8,55.16,47.22
4,0.4,2,51.835,48.79
4,0.4,4,54.905,52.63
4,0.4,8,59.74,56.06
4,0.6,2,55.416666666666664,52.67
4,0.6,4,58.596666666666664,55.81
4,0.6,8,60.86,57.62
4,0.8,2,57.8725,57.09
4,0.8,4,60.555,57.9
4,0.8,8,63.805,59.36
4,1.0,2,59.93,57.23
4,1.0,4,63.492,60.62
4,1.0,8,63.42,59.89
8,0.2,2,49.39,43.46
8,0.2,4,53.78,46.31
8,0.2,8,55.56,48.25
8,0.4,2,52.475,50.98
8,0.4,4,55.79,52.08
8,0.4,8,58.005,53.31
8,0.6,2,55.50333333333333,52.21
8,0.6,4,57.67333333333333,53.5
8,0.6,8,60.68666666666667,56.09
8,0.8,2,57.5675,54.54
8,0.8,4,60.6025,58.02
8,0.8,8,61.855,57.34
8,1.0,2,59.004,56.6
8,1.0,4,61.18,58.2
8,1.0,8,62.68,58.12
16,0.2,2,48.79,44.88
16,0.2,4,50.35,44.15
16,0.2,8,52.7,45.31
16,0.4,2,51.44,49.33
16,0.4,4,52.7,47.12
16,0.4,8,55.55,48.97
16,0.6,2,53.31666666666667,50.76
16,0.6,4,54.39333333333333,49.74
16,0.6,8,56.766666666666666,51.74
16,0.8,2,55.31,52.15
16,0.8,4,56.015,53.09
16,0.8,8,57.6,53.72
16,1.0,2,56.084,53.94
16,1.0,4,57.71,53.37
16,1.0,8,58.69,55.31
