patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,30.84,32.4
4,0.2,4,29.53,30.6
4,0.2,8,29.5,30.58
4,0.4,2,35.905,36.39
4,0.4,4,37.09,37.87
4,0.4,8,37.7,38.61
4,0.6,2,38.74,39.33
4,0.6,4,40.67,41.97
4,0.6,8,41.70333333333333,42.48
4,0.8,2,40.8,41.87
4,0.8,4,42.0425,42.86
4,0.8,8,43.9175,44.88
4,1.0,2,42.442,44.01
4,1.0,4,43.846,44.49
4,1.0,8,44.398,46.11
8,0.2,2,34.07,34.35
8,0.2,4,32.33,31.92
8,0.2,8,32.88,33.5
8,0.4,2,37.2,36.6
8,0.4,4,38.9,39.24
8,0.4,8,39.185,39.71
8,0.6,2,39.21666666666667,39.75
8,0.6,4,40.333333333333336,40.86
8,0.6,8,41.233333333333334,42.07
8,0.8,2,41.43,41.68
8,0.8,4,42.9325,43.71
8,0.8,8,42.69,44.33
8,1.0,2,42.004,41.55
8,1.0,4,45.498,45.99
8,1.0,8,44.746,44.5
16,0.2,2,36.56,35.38
16,0.2,4,35.83,34.52
16,0.2,8,35.5,34.88
16,0.4,2,38.99,37.06
16,0.4,4,40.93,38.4
16,0.4,8,40.915,39.6
16,0.6,2,41.33,39.81
16,0.6,4,41.47,42.06
16,0.6,8,42.49333333333333,42.27
16,0.8,2,41.4525,41.5
16,0.8,4,43.15,43.05
16,0.8,8,42.87,42.44
16,1.0,2,42.452,42.14
16,1.0,4,43.824,42.86
16,1.0,8,44.19,44.33
