patch_size,subset,heads,train_accuracy,val_accuracy
4,0.2,2,31.24,31.88
4,0.2,4,35.88,36.0
4,0.2,8,37.07,36.96
4,0.4,2,36.38,37.15
4,0.4,4,38.825,40.32
4,0.4,8,38.865,39.91
4,0.6,2,38.15,38.35
4,0.6,4,40.766666666666666,41.35
4,0.6,8,40.74,41.27
4,0.8,2,35.99,37.35
4,0.8,4,41.0275,43.11
4,0.8,8,43.8625,43.95
4,1.0,2,40.552,41.05
4,1.0,4,43.328,44.1
4,1.0,8,45.298,46.34
8,0.2,2,32.78,31.47
8,0.2,4,36.47,36.02
8,0.2,8,36.4,35.51
8,0.4,2,37.705,37.62
8,0.4,4,38.145,37.56
8,0.4,8,39.15,40.25
8,0.6,2,36.97666666666667,37.57
8,0.6,4,40.24666666666667,40.39
8,0.6,8,41.42333333333333,41.27
8,0.8,2,39.5975,40.84
8,0.8,4,41.0525,41.48
8,0.8,8,43.21,43.4
8,1.0,2,39.246,40.64
8,1.0,4,42.13,42.71
8,1.0,8,43.988,44.0
16,0.2,2,37.83,36.55
16,0.2,4,36.83,35.44
16,0.2,8,39.13,36.04
16,0.4,2,38.67,37.36
16,0.4,4,39.45,37.83
16,0.4,8,40.48,39.9
16,0.6,2,41.17,40.88
16,0.6,4,40.03,39.79
16,0.6,8,40.0,39.16
16,0.8,2,40.7725,41.15
16,0.8,4,41.9175,42.16
16,0.8,8,41.975,41.13
16,1.0,2,39.178,38.98
16,1.0,4,42.494,42.97
16,1.0,8,43.016,42.84
